Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
1382242038,"Jan 26, 2018, 9:50:57 PM",Afternoon Activity,Virtual Ride,,6927,35.54,,,FALSE,,,activities/1492004984.fit.gz,59.42060089,,6927,6872,35546,25.20000076,,762,,-6.400000095,516.2000122,20.60000038,0.0461374,,,128,67.51999664,,,,104.6740036,802.0415039,,,,,,,,,,,,117,6928,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387269214,"Feb 2, 2018, 2:03:22 AM",Watopia,Virtual Ride,,2918,23.79,,,FALSE,,,activities/1497210159.fit.gz,59.42060089,,2918,2918,23795.40039,13.89999962,,126,,-6.199999809,23,7,-0.028576951,,,103,89.4989624,,,,116.7444992,379.8347778,,,,,,,,,,,,123,2919,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/3be71bf5-fe65-43fa-9d4b-1f845f1f3884.jpg
1395415429,"Feb 7, 2018, 2:40:35 AM",London,Virtual Ride,,1792,13.68,,,FALSE,,,activities/1505627837.fit.gz,59.42060089,,1792,1775,13686.2002,14.80000019,,81,,8.600000381,29,6.699999809,-0.030687846,,,105,88.05989838,,,,105.8278809,209.4468384,,,,,,,,,,,,121,1793,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399885886,"Feb 10, 2018, 1:03:34 AM",Richmond,Virtual Ride,,2743,18.81,,,FALSE,,,activities/1510563395.fit.gz,59.42060089,,2743,2743,18814.19922,16.89999962,,128,,4.400000095,64.80000305,16.29999924,-0.231739849,,,110,81.14722443,,,,98.15625763,300.205658,,,,,,,,,,,,125,2744,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/04f9c31a-dc6a-40a7-b66e-a671a35f7c1c.jpg
1409668302,"Feb 16, 2018, 2:59:19 AM",Watopia,Virtual Ride,,1961,16.29,,,FALSE,,,activities/1521528710.fit.gz,59.42060089,,1961,1961,16291,13.39999962,,83,,-6.199999809,23,6.5,0.057700571,,,117,94.1636734,,,,127.883194,279.618103,,,,,,,,,,,,136,1962,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429457756,"Feb 28, 2018, 3:23:20 AM",London,Virtual Ride,,1810,16.31,,,FALSE,,,activities/1542345595.fit.gz,59.42060089,,1810,1810,16317.59961,13.10000038,,42,,11.60000038,26.20000076,6.800000191,-0.00122567,,,113,94.56944275,,,,146.7969055,296.2583618,,,,,,,,,,,,152,1811,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434742565,"Mar 3, 2018, 8:22:00 PM",Afternoon Ride,Ride,,6600,34.54,,,FALSE,,,activities/1547757432.fit.gz,59.42060089,,6600,6155,34541.80078,17,,492,,315.2000122,406,24.70000076,-0.015054224,,,,,,,,94.35926056,647.5713501,,19,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463449091,"Mar 21, 2018, 1:36:22 AM",London,Virtual Ride,,1846,14.47,,,FALSE,,,activities/1577455772.fit.gz,59.42060089,,1846,1846,14475.90039,14.89999962,,38,,11.60000038,26.20000076,7.800000191,-0.037303381,,,116,83.22685242,,,,104.948967,216.0154724,,,,,,,,,,,,117,1847,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/85ccf1a7-edb2-47c3-b3d0-5f2677fe9d2a.jpg
1525431416,"Apr 22, 2018, 4:59:30 PM",Watopia,Virtual Ride,,2342,18.85,,,FALSE,,,activities/1641962941.fit.gz,59.42060089,,2342,2342,18855.30078,13.89999962,,98,,-6.199999809,23,14.30000019,0.008485678,,,114,85.55960846,,,,112.9090881,294.8426514,,,,,,,,,,,,117,2343,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/bb2b56ba-a5fc-4e6b-b056-d1cc378eadd3.jpg
1554874023,"May 7, 2018, 12:20:51 AM",FTP Test (shorter),Virtual Ride,,2861,21.25,,,FALSE,,,activities/1672347422.fit.gz,59.42060089,,2861,2861,21255.30078,13.60000038,,123,,-6.199999809,23,7.400000095,0.004704709,,,138,91.33637238,,,,101.29496,323.1325684,,,,,,,,,,,,119,2862,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/e7ad20f0-ce71-4550-8bd4-fb4097271d4c.jpg
